Sus,1
Fa,2,3/8
Fa,2,1/8
Fa,2,1/4
Fa,2,1/4
Mi,2,1/4
Fa,2,1/2
Fa,2,1/4
Mi,2,1/4
Fa,2,1/2
Sol,2,1/4
La,2,1/2
Sol,2,1/2
Fa,2,3/8
Fa,2,1/8
Fa,2,1/4
Fa,2,1/4
Mi,2,1/4
Fa,2,1/2
Fa,2,1/4
Do,2,1
Sus,1
Fa,2,3/8
Fa,2,1/8
Fa,2,1/4
Fa,2,1/4
Mi,2,1/4
Fa,2,1/2
Fa,2,1/4
Mi,2,1/4
Fa,2,1/2
Sol,2,1/4
La,2,1/2
Sol,2,1/2
Fa,2,3/8
Fa,2,1/8
Fa,2,1/4
Fa,2,1/4
Mi,2,1/4
Fa,2,1/2
Fa,2,1/4
Do,2,1
Sus,1
Fa,2,1
Sol,2,3/4
Do,2,1/4
Do,3,1/2
Si,2,1/4
La,2,1/4
Sol,2,1/2
La,2,1/4
Si,2,1/4
La,2,1/2
Sol,2,1/4
Fa,2,1/4
Mi,2,1/4
Fa,2,1/2
Mi,2,1/4
Re,2,1
Sus,1
Fa,2,1
Sol,2,3/4
Do,2,1/4
Do,3,1/2
Si,2,1/4
La,2,1/4
Sol,2,1/2
La,2,1/4
Si,2,1/4
La,2,1/2
Sol,2,1/4
Fa,2,1/4
Mi,2,1/4
Fa,2,1/2
Mi,2,1/4
Mi,2,1/4
Fa,2,1/2
Sol,2,1/4
La,2,1/2
Sol,2,1/2
Fa,2,1
